,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,1.9678,0.0021,0.0,0.9886,37.669,34.5246
1,basic,2.843,0.015,0.0003,0.9851,33.8383,35.0679
2,clutter,10.1965,0.0964,0.0236,0.7144,21.6057,22.4532
3,illuminationChanges,24.706,0.175,0.1066,0.6625,12.4704,13.033
4,intermittentMotion,7.5035,0.0616,0.0425,0.8938,21.885,22.685
5,jitter,6.9618,0.08,0.0129,0.9017,24.9013,25.7353
6,veryLong,3.8777,0.0122,0.0001,0.991,30.8698,31.3568
7,veryShort,14.8058,0.1948,0.039,0.8373,19.0836,19.6905
