,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,3.5218,0.0297,0.0006,0.976,30.2218,29.9698
1,basic,4.4157,0.0418,0.0029,0.969,28.8302,30.0455
2,clutter,20.3134,0.3009,0.2185,0.5695,18.9739,20.2709
3,illuminationChanges,6.7835,0.0805,0.0526,0.8866,27.2444,28.0604
4,intermittentMotion,9.1577,0.102,0.071,0.8709,21.3154,22.3998
5,jitter,6.3708,0.0798,0.0168,0.9326,27.7716,28.8932
6,veryLong,7.8187,0.0807,0.0036,0.9327,23.5661,24.3954
7,veryShort,9.3091,0.121,0.0103,0.9424,24.1358,24.9539
