,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,2.6073,0.0109,0.0032,0.9825,34.5506,33.0699
1,basic,6.0137,0.0589,0.0364,0.9741,29.0531,30.6344
2,clutter,21.7032,0.3825,0.2904,0.617,19.6768,21.0804
3,illuminationChanges,64.4783,0.8371,0.7586,0.8273,10.8803,12.3463
4,intermittentMotion,10.1341,0.1281,0.103,0.8903,22.5062,23.5667
5,jitter,7.5481,0.0863,0.0204,0.9212,26.5914,27.725
6,veryLong,4.2579,0.012,0.0003,0.9887,31.5415,32.2349
7,veryShort,7.43,0.0862,0.0316,0.9389,26.9296,27.6246
