,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,4.7067,0.0514,0.002,0.9625,28.0372,28.0745
1,basic,5.316,0.0561,0.0054,0.9568,27.6353,29.0385
2,clutter,19.9818,0.3135,0.234,0.5895,19.3579,20.7557
3,illuminationChanges,72.7804,0.8749,0.8067,0.8004,9.9194,11.3909
4,intermittentMotion,9.2589,0.1082,0.0718,0.8751,21.6228,22.7445
5,jitter,6.5953,0.0813,0.0182,0.9318,27.7021,28.8244
6,veryLong,10.0587,0.1249,0.0064,0.8849,21.8319,23.0251
7,veryShort,10.3353,0.1411,0.02,0.9298,23.1965,24.1521
