,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,1.9328,0.0017,0.0001,0.9894,38.0297,34.9246
1,basic,2.7046,0.0116,0.0001,0.9874,34.4567,35.5359
2,clutter,15.1302,0.1421,0.0737,0.6033,18.9254,19.8772
3,illuminationChanges,23.099,0.1638,0.0944,0.6459,13.1199,13.6372
4,intermittentMotion,7.9421,0.0657,0.0489,0.8816,21.2995,22.1689
5,jitter,6.7644,0.077,0.0109,0.9084,25.4251,26.4379
6,veryLong,3.6996,0.0089,0.0002,0.993,31.9464,32.5938
7,veryShort,9.1132,0.1084,0.0085,0.9329,24.4381,25.0606
