,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,2.0602,0.0023,0.0004,0.9874,37.1033,34.6793
1,basic,2.9425,0.0122,0.0003,0.9872,34.6421,35.8188
2,clutter,17.9059,0.2756,0.2063,0.5861,19.8008,21.1911
3,illuminationChanges,72.0381,0.8715,0.7994,0.807,10.0057,11.476
4,intermittentMotion,7.9457,0.0733,0.0598,0.8911,22.1525,23.2233
5,jitter,6.4956,0.0751,0.0142,0.9323,27.7482,28.8703
6,veryLong,3.7663,0.0073,0.0001,0.9931,32.3489,33.0024
7,veryShort,5.5398,0.031,0.0008,0.9695,28.2842,28.9345
