,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,1.648,0.0008,0.0001,0.9859,39.5205,39.2841
1,basic,2.7499,0.0124,0.0004,0.9885,35.038,36.1709
2,clutter,17.9422,0.282,0.2187,0.5825,19.8936,21.2216
3,illuminationChanges,71.3304,0.8747,0.8027,0.8072,10.095,11.5794
4,intermittentMotion,7.8405,0.0741,0.0611,0.8908,22.0583,23.1056
5,jitter,6.226,0.0764,0.0149,0.934,27.8073,28.9346
6,veryLong,3.6949,0.0073,0.0001,0.9932,32.4342,33.0931
7,veryShort,4.8681,0.0246,0.0009,0.9772,31.6933,32.2282
