,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,5.5283,0.0523,0.0206,0.9208,22.8371,23.1745
1,basic,46.4238,0.2547,0.2057,0.6824,15.4459,16.0118
2,clutter,28.8597,0.4556,0.3174,0.3967,16.4927,17.3733
3,illuminationChanges,85.7373,0.8706,0.7161,0.1489,7.5337,8.5755
4,intermittentMotion,24.0263,0.2744,0.2129,0.7137,16.595,17.137
5,jitter,17.5572,0.1667,0.0781,0.7259,18.4119,18.7448
6,veryLong,10.5041,0.0685,0.0096,0.8476,17.5451,18.1163
7,veryShort,38.0973,0.3286,0.1346,0.501,10.7806,11.5277
