,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,2.8241,0.0117,0.0034,0.9823,29.2643,29.0997
1,basic,6.2978,0.0668,0.0415,0.973,28.7792,30.3429
2,clutter,21.6902,0.3827,0.29,0.6181,19.6864,21.0955
3,illuminationChanges,64.6061,0.8371,0.7583,0.8264,10.8628,12.3291
4,intermittentMotion,10.1341,0.1281,0.1031,0.8904,22.5067,23.5678
5,jitter,7.5488,0.0863,0.0204,0.9211,26.5871,27.7205
6,veryLong,4.2563,0.012,0.0003,0.9887,31.5446,32.2367
7,veryShort,7.9347,0.1003,0.0411,0.9319,26.2889,26.9898
