,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,1.8669,0.0019,0.0002,0.9883,38.2262,35.135
1,basic,2.5564,0.0102,0.0001,0.9892,35.3096,36.4053
2,clutter,16.756,0.1758,0.1291,0.5657,18.6434,19.9459
3,illuminationChanges,7.736,0.1136,0.0495,0.8242,25.6921,24.7341
4,intermittentMotion,8.4891,0.0714,0.0575,0.8797,21.0824,22.1433
5,jitter,6.1964,0.0722,0.011,0.9305,27.4789,28.6386
6,veryLong,3.6427,0.0066,0.0002,0.9933,32.2573,32.9458
7,veryShort,5.1337,0.0283,0.0002,0.9769,31.0388,31.6157
