,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,1.8741,0.0015,0.0003,0.9882,38.298,35.6392
1,basic,2.9819,0.0115,0.0002,0.987,34.5933,35.6689
2,clutter,18.7231,0.2715,0.204,0.5645,19.2287,20.5258
3,illuminationChanges,9.6636,0.1069,0.0595,0.8448,25.7225,25.4982
4,intermittentMotion,8.1189,0.0749,0.0612,0.8833,21.6433,22.7175
5,jitter,6.4402,0.0748,0.0135,0.933,27.6872,28.8167
6,veryLong,3.7607,0.0071,0.0002,0.9931,32.2927,32.9504
7,veryShort,5.0429,0.0268,0.0007,0.9745,30.14,30.7417
