,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,7.7353,0.106,0.0183,0.9357,25.2753,25.5579
1,basic,7.0618,0.0976,0.015,0.9285,25.6889,27.1197
2,clutter,18.3839,0.3038,0.2094,0.5853,20.2435,21.5976
3,illuminationChanges,62.1728,0.8314,0.7229,0.7971,11.1469,12.5902
4,intermittentMotion,10.9972,0.1349,0.0788,0.8581,21.5545,22.6815
5,jitter,6.9973,0.092,0.0227,0.9204,27.3601,28.4935
6,veryLong,16.1468,0.2375,0.0512,0.8442,19.0827,20.4123
7,veryShort,15.2749,0.2481,0.0566,0.8707,20.7566,21.8196
