,category,AGE,pEPs,pCEPs,MSSSIM,PSNR,CQM
0,backgroundMotion,1.6242,0.0013,0.0001,0.9873,39.637,39.2979
1,basic,2.5955,0.0109,0.0001,0.9891,35.2965,36.3169
2,clutter,16.7179,0.2065,0.1551,0.5857,19.4878,20.7494
3,illuminationChanges,6.755,0.0822,0.0586,0.8765,27.313,28.1198
4,intermittentMotion,8.3149,0.0743,0.0606,0.8823,21.3906,22.4421
5,jitter,6.1691,0.0747,0.013,0.9333,27.8006,28.9353
6,veryLong,3.6466,0.0069,0.0002,0.9933,32.3091,32.9944
7,veryShort,4.8756,0.0241,0.0003,0.9792,31.8941,32.4441
